game_id,timestamp,deck_name,opponent,game_won,game_result_reason,player_commander,opponent_commander
f48c6ffa-8969-43b0-a533-d26de6b46e0d,2025-04-11 22:32:44.965,You've Got Gnomes,A Beluga Whale,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Tajic, Legion's Valor"
4d93cc8d-1448-422c-b9b2-9ef295a10ea4,2025-04-11 22:36:19.838,You've Got Gnomes,...,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Etali, Primal Conqueror // Etali, Primal Sickness"
19cba288-c645-4e56-a111-c0e0a7611c46,2025-04-11 22:41:52.328,You've Got Gnomes,josealbertooceguera,True,ResultReason_Game,"Anim Pakal, Thousandth Moon","Bonny Pall, Clearcutter"
80608335-b215-4bd9-bdda-3455c549da06,2025-04-11 22:45:10.744,You've Got Gnomes,Nemo1342,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon",95726
aa143f8b-07df-4faa-8487-0b7f037a07a1,2025-04-11 23:07:16.410,You've Got Gnomes,Sebacdc,False,ResultReason_Game,"Anim Pakal, Thousandth Moon","Gonti, Night Minister"
9f541e02-23ee-44db-b204-0b36ca20b245,2025-04-12 13:40:10.156,Tasha's Hideous Laughter,Sharku84,True,ResultReason_Concede,"Alesha, Who Laughs at Fate",95578
92e7d3f0-c142-49d8-a012-5239e49d2486,2025-04-12 13:49:12.167,Tasha's Hideous Laughter,Aemord,False,ResultReason_Game,"Alesha, Who Laughs at Fate","Sigarda, Font of Blessings"
b8b10c59-ce7e-4111-8032-41dc24ce4df4,2025-04-12 13:59:35.048,Tasha's Hideous Laughter,Minsu,False,ResultReason_Game,"Alesha, Who Laughs at Fate","Rip, Spawn Hunter"
da1618a7-1c17-42f9-acfd-8ba7aa89cb14,2025-04-12 14:03:04.116,Tasha's Hideous Laughter,MrLoLeR,True,ResultReason_Concede,"Alesha, Who Laughs at Fate","Koma, World-Eater"
a5408d67-707a-48e4-b595-303370761a89,2025-04-12 14:10:54.067,Tasha's Hideous Laughter,Bombtrack667,False,ResultReason_Game,"Alesha, Who Laughs at Fate","Anafenza, the Foremost"
02d9550a-b00f-49c7-a5c3-f19b1889d73a,2025-04-12 14:11:46.122,Tasha's Hideous Laughter,PauloSantos,True,ResultReason_Concede,"Alesha, Who Laughs at Fate","Koma, Cosmos Serpent"
fa7afc7d-b93a-48de-a367-e307c38c8a07,2025-04-12 14:18:50.510,Tasha's Hideous Laughter,BNinde,False,ResultReason_Game,"Alesha, Who Laughs at Fate",95695
d25df9c4-9da3-4fc0-8498-4c6191daeb67,2025-04-12 14:22:09.559,Tasha's Hideous Laughter,DEATHAXPY,True,ResultReason_Concede,"Alesha, Who Laughs at Fate","Miirym, Sentinel Wyrm"
cc6ca9e3-931c-4c43-8085-75afd4c46650,2025-04-12 14:27:53.173,You've Got Gnomes,Fink08,True,ResultReason_Game,"Anim Pakal, Thousandth Moon","Narset, Enlightened Exile"
85793112-f82b-4043-8b17-f96592f41b8e,2025-04-12 14:31:06.757,Roommates with Benefits,brixx,False,ResultReason_Game,"Halana and Alena, Partners","Voja, Jaws of the Conclave"
537a5734-d534-486d-8dcd-a1aa34c6b2b6,2025-04-12 14:33:48.149,Roommates with Benefits,Copper,True,ResultReason_Concede,"Halana and Alena, Partners",95526
5ad32b68-770c-4bda-9914-b07249d9cc4b,2025-04-12 14:37:15.589,You've Got Gnomes,Conangod00,False,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Ketramose, the New Dawn"
0bc411c1-42c5-4f20-951b-29a268488e5c,2025-04-12 14:47:12.426,You've Got Gnomes,rushtown,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Raffine, Scheming Seer"
2f459d52-bd19-40c3-b1e3-7e9cf44b2288,2025-04-13 18:32:17.742,Paradox Academy,CasualPhilosopher,False,ResultReason_Game,"Drafna, Founder of Lat-Nam","Breya, Etherium Shaper"
d3c1d7a3-77ca-4c0a-a226-862bc632dacf,2025-04-13 18:34:07.846,Paradox Academy,BibleLover999,False,ResultReason_Force,,
c2c78f02-9951-44dd-9618-44a8c710887d,2025-04-13 18:42:31.242,Paradox Academy,Carim,False,ResultReason_Game,"Drafna, Founder of Lat-Nam",81918
9fea809e-bd27-4b98-8840-52b56bc1e655,2025-04-13 18:50:23.330,Paradox Academy but bad,Aura of Furries,False,ResultReason_Game,"Drafna, Founder of Lat-Nam",95760
63755118-9237-4694-b5a1-3900f6db2e41,2025-04-13 18:57:17.927,Paradox Academy but bad,Kural ,False,ResultReason_Game,"Drafna, Founder of Lat-Nam",95526
8ba0b27c-d75d-4da3-974e-03224357e4ca,2025-04-13 19:01:38.941,Paradox Academy but bad,Bulletant,True,ResultReason_Concede,"Drafna, Founder of Lat-Nam",95726
a8077708-7eb0-4803-990a-f0a18e951b30,2025-04-13 19:04:30.998,You've Got Gnomes,Overbabo5000,True,ResultReason_Game,"Anim Pakal, Thousandth Moon","Azusa, Lost but Seeking"
bd66194d-0c20-4e22-a539-e61b2771d4c9,2025-04-13 19:08:37.469,You've Got Gnomes,AdaMN,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Tergrid, God of Fright // Tergrid's Lantern"
c644744c-de8d-4a93-a2af-5722ced8cdde,2025-04-13 19:12:47.180,You've Got Gnomes,BionicDwarf,True,ResultReason_Concede,"Anim Pakal, Thousandth Moon","Jodah, the Unifier"
ff1ac1a9-60c5-4ea7-bd6d-bcf8ebb70e21,2025-04-13 19:21:31.369,You've Got Gnomes,Aesop,False,ResultReason_Game,"Anim Pakal, Thousandth Moon","Jetmir, Nexus of Revels"
